Simulation start time,Model,Task,Trial,Simulation test 1,Simulation test 2,Simulation test 3,Simulation finished (within 3 attempts),Animation looks safe,Animation Notes
2025-09-10 21-49-13,transformer_attn,pouring,9,1,,,1,1,Looks pretty smooth
2025-09-10 21-49-54,transformer_attn,pouring,10,0,0,1,1,1,Looks pretty smooth
2025-09-10 21-52-00,transformer_attn,pouring,11,1,,,1,1,Looks pretty smooth
2025-09-10 21-52-41,transformer_attn,pouring,12,1,,,1,1,Looks pretty smooth
2025-09-10 21-53-22,transformer_attn,pouring,13,1,,,1,1,Looks pretty smooth
2025-09-10 21-54-03,transformer_attn,pouring,14,1,,,1,1,Looks pretty smooth
2025-09-10 21-54-44,transformer_attn,pouring,15,1,,,1,1,Looks pretty smooth
2025-09-10 21-56-05,transformer_ff,pouring,0,1,,,1,1,Looks pretty smooth
2025-09-10 21-56-46,transformer_ff,pouring,1,1,,,1,1,Some shaking at beginning
2025-09-10 21-57-27,transformer_ff,pouring,2,1,,,1,1,Looks pretty smooth
2025-09-10 21-58-08,transformer_ff,pouring,3,0,1,,1,1,Looks pretty smooth
2025-09-10 21-59-36,transformer_ff,pouring,4,1,,,1,1,Looks pretty smooth
2025-09-10 22-00-21,transformer_ff,pouring,5,0,0,1,1,1,Looks pretty smooth
2025-09-10 22-02-29,transformer_ff,pouring,6,1,,,1,1,Looks pretty smooth
2025-09-10 22-03-10,transformer_ff,pouring,7,1,,,1,1,Looks pretty smooth
2025-09-10 22-03-51,transformer_ff,pouring,8,1,,,1,1,Looks pretty smooth
2025-09-10 22-04-33,transformer_ff,pouring,9,1,,,1,1,Looks pretty smooth
2025-09-10 22-05-13,transformer_ff,pouring,10,1,,,1,1,Looks pretty smooth
2025-09-10 22-05-56,transformer_ff,pouring,11,1,,,1,1,Looks pretty smooth
2025-09-10 22-06-37,transformer_ff,pouring,12,1,,,1,1,Looks pretty smooth
2025-09-10 22-07-18,transformer_ff,pouring,13,0,0,0,0,1,Looks pretty smooth
2025-09-10 22-10-17,transformer_ff,pouring,14,1,,,1,1,Looks pretty smooth
2025-09-10 22-10-58,transformer_ff,pouring,15,1,,,1,1,Looks pretty smooth
2025-09-10 22-12-23,diff_transformer_attn,scooping_powder,0,0,1,,1,0,Shaky
